Original	Article	Author	PostAuthor	No	Month	Year
Church re-locates back to Nundah, Wavell Heights Baptist Church, 54 - April 2003	Church re-locates back to Nundah		Wavell Heights Baptist Church	54	4	2003
Early Baptist Churches in Queensland (# 09), Cray, H G, Enoggera Baptist Church, 54 - April 2003	Early Baptist Churches in Queensland (# 09)	Cray, H G	Enoggera Baptist Church	54	4	2003
Help needed with major project, 150th Anniversary, 54 - April 2003	Help needed with major project, 150th Anniversary		150th Anniversary	54	4	2003
Oral History session with retired ministers, Oral History, 54 - April 2003	Oral History session with retired ministers		Oral History	54	4	2003
Samuel Lane, the formative years Part 2, Lane, Rev John, Lane, Rev Samuel, 54 - April 2003	Samuel Lane	Lane, Rev John	Lane, Rev Samuel	54	4	2003
Early Baptist Churches in Queensland (# 10), Sandgate Baptist Church, 55 - Aug 2003	Early Baptist Churches in Queensland (# 10)		Sandgate Baptist Church	55	8	2003
No gilded path of heaven, Benson, Rod, Young, William Vickers, 55 - Aug 2003	No gilded path of heaven	Benson, Rod	Young, William Vickers	55	8	2003
BHSQ Annual Report 2003, BHSQ - Report 2003, 56 - Dec 2003	BHSQ Annual Report 2003		BHSQ Annual Report	56	12	2003
Early Baptist Churches in Queensland (# 11), Higlett, W, Toowong Baptist Church, 56 - Dec 2003	Early Baptist Churches in Queensland (# 11)	Higlett, W	Toowong Baptist Church	56	12	2003
The Carey letters - the local connection, Parker, David, Carey, William, 56 - Dec 2003	The Carey letters - the local connection	Parker, David	CAREY, William	56	12	2003
William Richer Baptist minister Toowong pioneer, Gibson, James W., Richer, Rev William, 56 - Dec 2003	William Richer Baptist minister Toowong pioneer	Gibson, James W.	Richer, Rev William	56	12	2003
Centenary of Queensland Baptist College, Queensland Baptist College, 57 - April 2004	Centenary of Queensland Baptist College		Queensland Baptist College	57	4	2004
Early Baptist Churches in Queensland (# 12), Leeder, FR, Taringa Baptist Church, 57 - April 2004	Early Baptist Churches in Queensland (# 12)	Leeder, FR	Taringa Baptist Church	57	4	2004
Launch of Horseman to Herald, Perkins, Royce, Lane, Rev Samuel, 57 - April 2004	Launch of Horseman to Herald	Perkins, Royce	Lane, Rev Samuel	57	4	2004
Our Twenty Years, BHSQ Twenty Years, 57 - April 2004	Our Twenty Years		BHSQ Twenty Years	57	4	2004
Seven biblical years of evangelism, Parker, David, Gospel Waggon, 57 - April 2004	Seven biblical years of evangelism	Parker, David	Gospel Waggon	57	4	2004
Baptist work in the South Burnett, Lane, Rev John, South Burnett, 58 - Aug 2004	Baptist work in the South Burnett	Lane, Rev John	South Burnett	58	8	2004
Early Baptist Churches in Queensland (# 13), Vulture Street Baptist Church South Bris, 58 - Aug 2004	Early Baptist Churches in Queensland (# 13)		Vulture Street Baptist Church South Bris	58	8	2004
William Richer Part 2, Gibson, James W., Richer, Rev William, 58 - Aug 2004	William Richer Part 2	Gibson, James W.	Richer, Rev William	58	8	2004
Baptist work in the South Burnett Part 2, Lane, Rev John, South Burnett, 59 - Dec 2004	Baptist work in the South Burnett Part 2	Lane, Rev John	South Burnett	59	12	2004
BHSQ Annual Report 2004, BHSQ - report 2004, 59 - Dec 2004	BHSQ Annual Report 2004		BHSQ Annual Report	59	12	2004
Early Baptist Churches in Queensland (# 14), Pinkenba Mission Church, 59 - Dec 2004	Early Baptist Churches in Queensland (# 14)		Pinkenba Mission Church	59	12	2004
First German Baptist Church honoured, German Baptist Church - Vernor, 59 - Dec 2004	First German Baptist Church honoured			59	12	2004
Reflections on Baptists and Neo-Pentecostalism, Parker, David, Pentocostalism, 59 - Dec 2004	Reflections on Baptists and Neo-Pentecostalism	Parker, David	Pentocostalism	59	12	2004
Aboriginal ministry in Queensland, Parker, David, Aboriginal ministry, 60 - Aug 2005	Aboriginal ministry in Queensland	Parker, David	Aboriginal ministry	60	8	2005
Pressing on with the Gospel, Sequi-centenary history, 60 - Aug 2005	Pressing on with the Gospel			60	8	2005
Relocation, Baptist Archives, 60 - Aug 2005	Relocation			60	8	2005
The Lad from Spring Hill, Lines, Marie, Smith, Rev A.E. (Ted), 60 - Aug 2005	The Lad from Spring Hill	Lines, Marie	Smith, Rev A.E. (Ted)	60	8	2005
	150 years of Baptist life - an overview Sesqui-centenary	Parker, David	Sesqui-centenary	61	12	2005
Baptist Celebrations, Centenary, 61 - Dec 2005	Baptist Celebrations, Centenary			61	12	2005
Baptists Together in Christ 1905-2005, Parker, David (review), Baptist World Alliance Centenary history, 61 - Dec 2005	Baptists Together in Christ 1905-2005	Parker, David	Baptist World Alliance Centenary history	27	12	2005
BHSQ Annual Report 2005, BHSQ - Report 2005, 61 - Dec 2005	BHSQ Annual Report 2005		BHSQ Annual Report	61	12	2005
Launching of the new history, Pressing on with the Gospel, 61 - Dec 2005	Launching of the new history, Pressing on with the Gospel			61	12	2005
The Lad from Spring Hill Part 2, Lines, Marie, Smith, Rev A.E. (Ted), 61 - Dec 2005	The Lad from Spring Hill Part 2	Lines, Marie	Smith, Rev A.E. (Ted)	61	12	2005
Early Baptist Churches in Queensland (# 15), Maryborough Baptist Church, 60 - Aug 2005	Early Baptist Churches in Queensland (# 15)		Maryborough Baptist Church	60	38	2005
400 years of Baptists, 72 - Apr 2009	400 years of Baptists			72	4	2009
Ancient Christian Healing Practice, 72 - Apr 2009	Ancient Christian Healing Practice			72	4	2009
ICOBS & ABRF in Australia 2009, 72 - Apr 2009	ICOBS & ABRF in Australia 2009			72	4	2009
Ipswich-150 years, 72 - Apr 2009	Ipswich-150 years			41	4	2009
Moore Park-50 years, 72 - Apr 2009	Moore Park-50 years			72	4	2009
Qld Researcher and Canberra History, 72 - Apr 2009	Qld Researcher and Canberra History			72	4	2009
Rev. H G Hackworthy by Bill Hughes, 72 - Apr 2009	Rev. H G Hackworthy by Bill Hughes	Hughes, Bill		72	4	2009
The Church in the City by John Lane, 72 - Apr 2009	The Church in the City by John Lane	John Lane		72	4	2009
Women who made a Difference launch, 72 - Apr 2009	Women who made a Difference launch			72	4	2009
Baptist Churches on the Move by David Parker, 73 - Aug 2009	Baptist Churches on the Move by David Parker	Parker, David		73	8	2009
Baptists 1609-2009, 73 - Aug 2009	Baptists 1609-2009			73	8	2009
Baptists Today Part I by Mark Mackay, 73 - Aug 2009	Baptists Today Part I by Mark Mackay	Mackay, Mark		73	8	2009
Historic Baptist House For Sale, 73 - Aug 2009	Historic Baptist House For Sale			73	8	2009
Women who made a Difference launch, 73 - Aug 2009	Women who made a Difference launch			73	8	2009
25th Annual Report 2009	25th Annual Report 2009			74	12	2009
Baptists 400th Anniversary, 74 - Dec 2009	Baptists 400th Anniversary			74	12	2009
Baptists Today Part II by Mark Mackay, 74 - Dec 2009	Baptists Today Part II by Mark Mackay	Mackay, Mark		74	12	2009
BHQ marks 25 years, 74 - Dec 2009	BHQ marks 25 years			74	12	2009
Jireh Baptist Church Honour Board by Bill Hughes, 74 - Dec 2009	Jireh Baptist Church Honour Board by Bill Hughes	Hughes, Bill		74	12	2009
Edward Street Baptist Church Revisited by Bill Hughes, 75 - Apr 2010	Edward Street Baptist Church Revisited by Bill Hughes	Hughes, Bill		75	4	2010
New Projects for BHQ, 75 - Apr 2010	New Projects for BHQ			75	4	2010
The Temples of Windmill Hill, by John Steele, 75 - Apr 2010	The Temples of Windmill Hill	John Steele		75	4	2010
Baptists in Queensland & the Charismatic Movement, Part 6 by David Parker, 76 - Aug 2010	Baptists in Queensland & the Charismatic Movement Part 6	Parker, David		76	8	2010
New and Continuing Projects, 76 - Aug 2010	New and Continuing Projects			76	8	2010
R.A. Scanlan, OAM - obituary, 76 - Aug 2010	R.A. Scanlan, OAM - obituary			76	8	2010
26th Annual Report, 77 - Dec 2010	26th Annual Report			77	12	2010
Baptist Records on CD, 77 - Dec 2010	Baptist Records on CD			77	12	2010
Deagon Mission Church 1918-93 by Bill Hughes, 77 - Dec 2010	Deagon Mission Church 1918-93 by Bill Hughes	Hughes, Bill		77	12	2010
Kalbar 135 years, 77 - Dec 2010	Kalbar 135 years			77	12	2010
The Lure of Gold-Rockhampton 150 years, 77 - Dec 2010	The Lure of Gold-Rockhampton 150 years			77	12	2010
Baptist DNA-What about our view of the Church? By Anne Klose, 78 - Apr 2011	Baptist DNA-What about our view of the Church? By Anne Klose	Klose, Anne		78	4	2011
Archives on Display, 79 - Aug 2011	Archives on Display			79	8	2011
Our Elusive Rev. Charles Smith, by David Parker, 79 - Aug 2011	Our Elusive Rev. Charles Smith	Parker, David		79	8	2011
Rev Mel Williams - Vale, 79 - Aug 2011	Rev Mel Williams - Vale			79	8	2011
The End of an Era - BUQ Presidency abolished, 79 - Aug 2011	The End of an Era - BUQ Presidency abolished			79	8	2011
The SGMU by Bill Hughes, 79 - Aug 2011	The SGMU by Bill Hughes	Hughes, Bill		79	8	2011
27th Annual Report, 80 - Dec 2011	27th Annual Report			83	12	2011
Gone . . .but not forgotten by Bill Hughes, 80 - Dec 2011	Gone . . .but not forgotten by Bill Hughes	Hughes, Bill		80	12	2011
In memory of …. by Eric Kopittke, 80 - Dec 2011	In memory of …. by Eric Kopittke			80	12	2011
Making Sense of Martha By Rosalind M Gooden, 80 - Dec 2011	Making Sense of Martha By Rosalind M Gooden	Gooden, Rosalind M.		80	12	2011
Archives-Going Digital, 81 - Apr 2012	Archives-Going Digital			81	4	2012
Jireh Honour Board Stars, 81 - Apr 2012	Jireh Honour Board Stars		JIREH BAPTIST CHURCH	81	4	2012
Something more than Gold Launching, 81 - Apr 2012	Something more than Gold Launching			81	4	2012
Warwick Centenary Celebrations by Bill Hughes, 81 - Apr 2012	Warwick Centenary Celebrations	Hughes, Bill		81	4	2012
Appeal to Church Historians by Neville Callam, BWA, 82 - Aug 2012	Appeal to Church Historians by Neville Callam	Callam, Neville	BWA	82	8	2012
Baptists on the Darling Downs, 82 - Aug 2012	Baptists on the Darling Downs			82	8	2012
Digitisation of Church Records - a Guide, 82 - Aug 2012	Digitisation of Church Records - a Guide			82	8	2012
Fascinating Figures: Baptists and the 2011 Census by David Parker, 82 - Aug 2012	Fascinating Figures: Baptists and the 2011 Census by David Parker	Parker, David		82	8	2012
Senior Girls' Missionary Union by Bill Hughes, 82 - Aug 2012	Senior Girls' Missionary Union by Bill Hughes	Hughes, Bill		82	8	2012
Something more than Gold Launching, 82 - Aug 2012	Something more than Gold Launching			82	8	2012
28th Annual Report 83 Dec 2012	28th Annual Report 83 Dec 2012			72	12	2012
Baptist Church Archives turns 30 - David Parker 83 December 2012	Baptist Church Archives turns 30	Parker, David	Baptist Archives Qld	83	12	2012
Milestone for the Archives - and others - 83 - December 2012	Milestone for the Archives - and others - 83 - December 2012			29	12	2012
Rev Charles Stewart - tracing our first minister's family, David Parker 83 - Dec 2012	Rev Charles Stewart - tracing our first minister's family	Parker, David		83	12	2012
	Heritage Plaque Number 6: North East Baptist Church	Editor		107	11	2020
	Midbar: The Dream that Died	David Parker		107	11	2020
	My First One Hundred Days…	Dr Pamela Condie OAM		107	11	2020
	New Book on the Way—Baptist Camping in Queensland	Editor		107	11	2020
	Baptist Heritage Queensland Annual — Meeting News	Editor		107	11	2020
	Secretary's Annual Report — 2020	Bill Hughes		107	11	2020
	Archives Report — Highlights	Editor		107	11	2020
	Changeover at the Archives	Editor		106	8	2020
	Public Advocacy – Why would Baptists in Australia bother?: A brief report from Australia	David Parker		106	8	2020
	Baptists in Queensland and the Spanish ‘Flu': How did they cope in 1919?	David Parker		106	8	2020
	News & Notes: Research Success; Archive Staffing; New Book: Baptists in the 'Never Never'	Editorial		105	4	2020
	All the Way:: ‘God’s Good Hand	Rev Dr Stan W Nickerson		105	4	2020
	End of an Era by Eric Kopittke	Editorial		104	12	2019
	Baptist Heritage Qld and Archives - Annual Reports	Editor		104	12	2019
	All the Way: ‘Faith Seeking Understanding’	David parker		104	12	2019
	‘The Gardener’ and the Silver Salver	Bill Hughes		103	8	2019
	Stanthorpe—thirty years to plant a church! Part 2	David parker		103	8	2019
	Warwick Baptist Church	David Parker and Bill Hughes		103	8	2019
	Vale—John Lane	Editor		102	4	2019
	Stanthorpe—thirty years to plant a church! Part 1	David parker		102	4	2019
	‘All the Way’—E J ‘Uncle Eddie’ Free	Editor		102	4	2019
	News and Notes: Essay Prize Presentation	Editor		101	12	2018
	Chas Sankey Fraser: optometrist and Baptist	Eric Kopittke		101	12	2018
	Allora Baptist Church 1950-70	David Parker		101	12	2018
	BHQ Annual Reports 2018	Editor		101	12	2018
	News and Notes: QB Forum Number 100	Editor		100	8	2018
	BHQ 7th Heritage Essay Prize Entry 2018	Greg Beaumont		100	8	2018
	News and Notes	Editor		99	4	2018
	Another woman who made a difference - Mrs Irvine of Nundah	Bill Hughes		99	4	2018
	Moore Park Sunday School and church	Valerie Dieckmann		99	4	2018
	The origins of the Chinchilla Baptist Church (Darling Downs Project)	David Parker		99	4	2018
	Hertiage Bus Tour			98	12	2017
	Fortesque Street Church 1865-1876-1889	Bill Hughes		98	12	2017
	All the Way!	Gerhard Bargen		98	12	2017
	BHQ, Archives - Annual Reports			98	12	2017
	Plaque Number 3 Dedication			97	8	2017
	First for BHQ-Heritage Bus Tour			97	8	2017
	Resources for Compiling a Baptist Church History	David Parker		97	8	2017
	‘All the way’: Rev Dr S W Solomon (2)			97	8	2017
	Qld Baptists, the Census and NCLS			97	8	2017
	News and Notes			96	4	2017
	‘All the way’: Rev Ken Steer			96	4	2017
	‘All the way’: Rev Dr Stan Solomon			96	4	2017
	Pastoring in the Good Old Days: Lanefield/Marburg	Rev HL McIntyre		96	4	2017
	6th Heritage Essay Prize Award Presentation: Called Home			95	12	2016
	BHQ and Archives: Annual Reports 2016			95	12	2016
	Dalby Baptist Church: the origins	David Parker		95	12	2016
	Baptism and Communion: glimpses from the pages of the QB	David Parker		95	12	2016
	Toowong Baptist Church Anniversary: Heritage Plague			94	8	2016
	The Autonomy of the Local Church-Biblical or Historical?: (6th BHQ Heritage Prize Winning Essay)	Dean Sanham		94	8	2016
	BHQ - Baptist Heritage Plagues			93	4	2016
	Toowoomba Baptist Church: the foundations	David Parker		93	4	2016
	Rev Dr SW Nickerson: Principal Malyon College	John Mayne		93	4	2016
	BHQ - Annual Report 2015			92	12	2015
	JG Schneider: family celebration			92	12	2015
	JG Schneider: appreciation from a descendant	Peter Whitehead		92	12	2015
	William Moore	R W (Bill) Hughes		92	12	2015
	Highfields: its early life-the short story	David Parker		92	12	2015
	Milestones - including tribute to late Dr Ken Smith			91	8	2015
	Figuring Queensland Baptists			91	8	2015
	Queensland Baptist voices on the War: Rev CJW Moon, Rev WG Pope & Rev W Bell	Rev CJW Moon, Rev WG Pope & Rev W Bell		91	8	2015
	A decade of church growth 150 years ago	David Parker		91	8	2015
	The story behind the photo: Rev Albert Butler	Faith Colegrove		91	8	2015
	News and Notes: Gallipoli 100th			90	4	2015
	News and Notes: New BHQ officers			90	4	2015
	News and Notes: Convention			90	4	2015
	BHQ 30th Annual Report			90	4	2015
	1915 The Year that made Australia!			90	4	2015
	Honour Boards & their Stories	Bill Hughes		90	4	2015
	Qld Baptist Voice on the War: Reports from BUQ Assemblies, 1915,-16			90	4	2015
	Mrs Ellen Chataway: a Tribute			90	4	2015
	German Baptists and Revival	David Parker		90	4	2015
	5th Heritage Essay Prize Winner Announced			89	12	2014
	Heritage Prize Winning Essay: Independence and Interdependence: Baptist Ecclesiology	Neil Parker		89	12	2014
	Trends-Tracks-Trophies: 30 Years of Change Featured at Archives Open Day			88	8	2014
	Preserve, Promote & Publish our Heritage: 30 Year History of the BHSQ Part 2	David Parker		88	8	2014
	A Picnic Today: Sponsored by the Baptist Men’s Society			88	8	2014
	Churches with Dementia	Bill Hughes		88	8	2014
	NSW BHS Celebrates 40 Years			88	8	2014
	Trends-Tracks-Trophies: 30 Years of the Archives and BHQ			87	4	2014
	Preserve, Promote & Publish our Heritage: 30 Year History of the BHSQ Part 1	David Parker		87	4	2014
	Exploring the ‘Community’ in Baptist ‘Community’ Churches	Dr Anne Klose		87	4	2014
	Historic Meeting of Archivists			86	12	2013
	The Australian Baptist: becoming available in digital form			86	12	2013
	From Five Barley Loaves: now published			86	12	2013
	Baptists in the Golden West: Rockville Baptist Church	David Parker		86	12	2013
	Baptists in the Golden West: Baptists Dream of the South West! Part 1	David Parker		86	12	2013
	BHQ - 29th Annual Report			86	12	2013
	Heritage Developments			85	8	2013
	The Wharf Street Dispute of 1864	Bill Hughes		85	8	2013
	Tracing our First Minister: More Stewart Family Details			85	8	2013
	Baptists in the Golden West			85	8	2013
	BHQ Baptist Essay Prize 2012 Winners			84	4	2013
	Prize Essay: Tim Lucas (abbreviated)	Tim Lucas		84	4	2013
	Prize Essay: Matt Littlefield (abbreviated)	Matt Littlefield		84	4	2013
	Two new publications from BHQ: Baptists in Qld; National Guide			84	4	2013
	Memorial Display Cabinets for Archives			84	4	2013
	Milestone for the Archives: and others			83	12	2012
	Baptist Church Archives Qld Turns 30			83	12	2012
	Tracing our First Minister's Family			83	12	2012
	BHQ Annual Report 2012			83	12	2012
	Something more than Gold Launching			82	8	2012
	By-Laws, Anniversaries & Celebrations			82	8	2012
	Digitisation of Church Records: a Guide			82	8	2012
	Fascinating Figures: Baptists and the 2011 Census	David Parker		82	8	2012
	Baptists on the Darling Downs			82	8	2012
	Senior Girls’ Missionary Union: Bill Hughes			82	8	2012
	An Appeal to Church Historians: BWA	Neville Callam		82	8	2012
	Something more than Gold: Ready for Launching			81	4	2012
	Archives: Going Digital			81	4	2012
	Warwick Centenary Celebrations	Bill Hughes		81	4	2012
	Saved: the Gatton Story			81	4	2012
	Jireh Honour Board Stars			81	4	2012
