Order	Vol	Year	Month	Title	SubTitle	Author	Words	file	link	linklabel
1	60	2005	8	Aboriginal ministry in Queensland		Parker, David				
2	60	2005	8	Pressing on with the Gospel						
3	60	2005	8	Relocation						
4	60	2005	8	The Lad from Spring Hill		Lines, Marie				
5	60	2005	38	Early Baptist Churches in Queensland (# 15)						
0	59	2004	12					QB-Forum-59.pdf		
1	59	2004	12	Baptist work in the South Burnett Part 2		Lane, Rev John				
2	59	2004	12	BHSQ Annual Report 2004						
3	59	2004	12	Early Baptist Churches in Queensland (# 14)						
4	59	2004	12	First German Baptist Church honoured						
5	59	2004	12	Reflections on Baptists and Neo-Pentecostalism/Charismatic Movement		Parker, David				
0	58	2004	8					QB-Forum-58.pdf		
1	58	2004	8	Baptist work in the South Burnett		Lane, Rev John				
2	58	2004	8	Early Baptist Churches in Queensland (# 13)						
3	58	2004	8	William Richer Part 2		Gibson, James W.				
0	57	2004	4					QB-Forum-57.pdf		
1	57	2004	4	Centenary of Queensland Baptist College						
2	57	2004	4	Early Baptist Churches in Queensland (# 12)		Leeder, FR				
3	57	2004	4	Launch of Horseman to Herald		Perkins, Royce				
4	57	2004	4	Our Twenty Years						
5	57	2004	4	Seven biblical years of evangelism		Parker, David				
0	56	2003	12					QB-Forum-56.pdf		
1	56	2003	12	BHSQ Annual Report 2003						
2	56	2003	12	Early Baptist Churches in Queensland (# 11)		Higlett, W				
3	56	2003	12	The Carey letters - the local connection		Parker, David				
4	56	2003	12	William Richer Baptist minister Toowong pioneer		Gibson, James W.				
0	55	2003	8					QB-Forum-55.pdf		
1	55	2003	8	Early Baptist Churches in Queensland (# 10)						
2	55	2003	8	No gilded path of heaven		Benson, Rod				
0	54	2003	4					QB-Forum-54.pdf		
1	54	2003	4	Church re-locates back to Nundah						
2	54	2003	4	Church re-locates back to Nundah						
3	54	2003	4	Church re-locates back to Nundah						
4	54	2003	4	Early Baptist Churches in Queensland (# 09)		Cray, H G				
5	54	2003	4	Help needed with major project, 150th Anniversary						
6	54	2003	4	Oral History session with retired ministers						
7	54	2003	4	Samuel Lane		Lane, Rev John				
0	53	2002	12					QB-Forum-53.pdf		
1	53	2002	12	BHSQ Annual Report 2002						
2	53	2002	12	Communion Tokens of South Brisbane		Williams, M				
3	53	2002	12	Early Baptist Churches in Queensland (# 08)		Higlett, W				
4	53	2002	12	Higlett Project		Parker, David				
0	52	1996	7					QB-Forum-52.pdf		
1	52	1996	7	Cemeteries - a forgotten resource?		Kopittke, Eric and Rosemary				
2	52	2002	8	Albion Baptist Church						
3	52	2002	8	Celebrating Jireh - our most fruitful church?						
4	52	2002	8	Centenary Jireh Baptist Church						
5	52	2002	8	Jireh Particular Baptist Church						
6	52	2002	8	Norman Park and Bulimba - Carey						
7	52	2002	8	Norman Park and Bulimba - Carey						
8	52	2002	8	Norman Park and Bulimba Carey						
9	52	2002	8	Nundah Baptist Church						
10	52	2002	8	Toowong Baptist Church						
11	52	2002	8	Windsor Road Baptist Church						
0	51	2002	4					QB-Forum-51.pdf		
1	51	2002	4	Coorparoo Church recycled after 91 years						
2	51	2002	4	Early Baptist Churches in Queensland (# 07)		Higlett, Willima				
3	51	2002	4	Relics of Sunday School Exams		Wiliams, Mel				
4	51	2002	4	Samuel Lane - formative years		Lane, Rev John				
5	51	2002	4	Anecdotes of Church and Manse Life		Kajewski (Withers), Marie				
0	50	2001	12					QB-Forum-50.pdf		
1	50	2001	12	Early Baptist Churches in Queensland (# 06)						
2	50	2001	12	Federation and Australian Baptists						
3	50	2001	12	Federation						
0	49	2001	7					QB-Forum-49.pdf		
1	49	2001	7	Early Baptist Churches in Queensland (# 05)						
2	49	2001	7	Federation						
3	49	2001	7	Reunion		Haldane, Leone				
4	49	2001	7	Rockhampton Baptist Church - the early years		Steer, Ken				
5	49	2001	7	Schneider grave revisited						
0	48	2001	4					QB-Forum-48.pdf		
1	48	2001	4	Early Baptist Churches in Queensland (# 04)						
2	48	2001	4	From our heritage - on Associations						
3	48	2001	4	The German Baptist Church at Zillman Waterholes		Williams, Melvin				
0	47	2000	12					QB-Forum-47.pdf		
1	47	2000	12	Early Baptist Churches in Queensland (# 03)						
2	47	2000	12	Mt Berryman Baptist Sunday School		Scanlan, Richard A.				
3	47	2000	12	The advancement of Christ's kingdom		Adam, Doug				
0	46	2000	8					QB-Forum-46.pdf		
1	46	2000	8	Carl Kemnitz and the Templin Assembly		Wolter, Laurie				
2	46	2000	8	Cuba para Christo - BWA General Council, Cuba		Parker, David				
3	46	2000	8	Early Baptist Churches in Queensland (# 02)						
4	46	2000	8	In this corner of the vineyard - eary years		Whitehead, Peter				
0	45	2000	4					QB-Forum-45.pdf		
1	45	2000	4	Building spiritual vitality through unity		Voller, Rev. James				
2	45	2000	4	Early Baptist Churches in Queensland (# 01)						
3	45	2000	4	Heritage program at the 18th BWA Congress						
0	44	1999	12					QB-Forum-44.pdf		
1	44	1999	12	Rev William Moore		Cane, Troy				
2	44	1999	12	Tragedy and Hope Part 2		Parker, David				
0	43	1999	8					QB-Forum-43.pdf		
1	43	1999	8	Baptist Ministers in Queensland 1906-1955		Parker, David				
2	43	1999	8	Seven delightful decades - review		Chataway, Ellen				
3	43	1999	8	Tragedy and Hope Part 1		Parker, David				
0	42	1999	4					QB-Forum-42.pdf		
1	42	1999	4	Baptist Ministers in Queensland 1849-1905 Part 3		Parker, David				
2	42	1999	4	The emergence of the Postmodern Church		Parker, David				
0	41	1996	4					QB-Forum-41.pdf		
1	41	1996	4	Joshua Jenyns - a controversial figure		Williams, Rev. M.C.				
2	41	1999	4	Johann Gerhard Oncken		Kopittke, Eric				
3	41	2009	4	Ipswich-150 years						
4	41	1998	12	Baptist Ministers in Queensland 1849-1905 Part 2		Parker, David				
5	41	1998	12	Celebrating 150 years of evangelical witness		Stewart, Rev Charles				
6	41	1998	12	Inside a mission treasurer's house		Kirkwood, Rev. Dr N.				
7	41	1998	12	Unravelling the Deacon mystery		Parker, David				
0	40	1998	7					QB-Forum-40.pdf		
1	40	1998	7	Baptist Ministers in Queensland 1849-1905 Part 1		Parker, David				
2	40	1998	7	Pastoral Profiles 18 Rev E.A. Kirwood		Higlett, Rev. W.				
3	40	1998	7	Research published		Stewart, Rev. Charles				
4	40	1998	7	Successfull annual celebration and book launch						
5	40	1998	7	Three Baptist Pawnbrokers		Lee, Graham S.				
0	39	1998	4					QB-Forum-39.pdf		
1	39	1998	4	German Baptists Revisited III Ministerial List		Parker, David				
2	39	1998	4	Pastoral Profiles 15 - Kingsford		Rev. J., Higlett				
3	39	1998	4	Sketches of bush work in Queensland		Higlett, Rev. W.				
0	38	1997	12					QB-Forum-38.pdf		
1	38	1997	12	About that which we sing		Grieve, Catherine				
2	38	1997	12	German Baptists Revisited II		Parker, David				
3	38	1997	12	Pastoral Profiles 14 - Shaw		Rev. A.D., Higlett				
4	38	1997	12	Successful launch of James Voller Book						
0	37	1997	7					QB-Forum-37.pdf		
1	37	1997	7	German Baptists Revisited I		Parker, David				
2	37	1997	7	Independent India's Troubled North East		Kirkwood, Rev. Dr N.				
3	37	1997	7	Pastoral Profiles 13 - Coombs		Rev. H., Higlett				
4	37	1997	7	Rev. J. Heinrich		Scanlan, Richard A.				
5	37	1997	7	Taringa Baptist Church Centenary & Rev J. Voller						
0	36	1997	4					QB-Forum-36.pdf		
1	36	1997	4	Baptist SS Examination Gold Medals		Williams, Rev. M.C.				
2	36	1997	4	Brisbane Cemeteries for Baptist Family History		Parker, David				
3	36	1997	4	Pastoral Profiles 11a - Page		Rev. W., Higlett				
4	36	1997	4	Pastoral Profiles 12a - Richer		Rev. W., Higlett				
0	35	1996	11					QB-Forum-35.pdf		
1	35	1996	11	Baptist Archives in 1996		Parker, David				
2	35	1996	11	Danish Baptists of Freestone Creek		Williams, Rev. M.C.				
3	35	1996	11	Mayurbhanj Messengers		Rolley, Ailsa				
4	35	1996	11	Pastoral Profiles 11 - Alexander		Rev. J.M, Higlett				
5	35	1996	11	Pastoral Profiles 12 - Leitch		Rev. T., Higlett				
0	34	1996	7					QB-Forum-34.pdf		
1	34	1996	7	Baptists in Australia by P.J. Hughes		Parker, David				
2	34	1996	7	Pastoral Profiles 09 - Rev. W. Higlett		Kingsford, Rev. J.				
3	34	1996	7	Pastoral Profiles 10 - Rev. F.G. Buckingham		Whale, Rev. W.				
4	34	1996	7	Promotion, preservation, publication		Ball, Dr. L.J.				
5	34	1996	7	Queensland at the Baptist World Alliance		Parker, David				
0	33	1996	4					QB-Forum-33.pdf		
1	33	1996	4	Flying Start		Ball, Dr. L.J.				
2	33	1996	4	My ancestors were Baptists by G.R. Breed		Parker, David				
3	33	1996	4	Pastoral Profiles - Rev J. B. Sneyd - further word		Parker, David				
4	33	1996	4	Pastoral Profiles 07 - Rev. C. Boyall		Higlett, Rev. W.				
5	33	1996	4	Pastoral Profiles 08 - Rev. J. Glover		Higlett, Rev. W.				
6	33	1996	4	Report of Callide Valley CE						
7	33	1996	4	The origins of Thangool Baptist Church		Ainsworth, Mr George				
0	32	1995	12					QB-Forum-32.pdf		
1	32	1995	12	Additional note		Makin, Rev. E.R.				
2	32	1995	12	Annual Report		Chataway, Ellen				
3	32	1995	12	Assembly Highlight		Ball, Dr. L.J.				
4	32	1995	12	Pastoral Profiles 05 - Rev. C. Krueger		Higlett, Rev. W.				
5	32	1995	12	Pastoral Profiles 06 - Rev. J.B. Sneyd		Higlett, Rev. W.				
6	32	1995	12	The Soren Jensen Family Part 2		Ball, Dr. L.J.				
7	32	1995	12	Williams, Rev. M.C.						
0	31	1995	7					QB-Forum-31.pdf		
1	31	1995	7	Pastoral Profiles 03 - Rev. E.R. Makin		Higlett, Rev. W.				
2	31	1995	7	Pastoral Profiles 04 - Rev. T. Vigis		Higlett, Rev. W.				
3	31	1995	7	Photo, Wamuran Baptist Church						
4	31	1995	7	The outlook		Ball, Dr. L.J.				
5	31	1995	7	The Soren Jensen Family Part 1		Ball, Dr. L.J.				
0	30	1995	4					QB-Forum-30.pdf		
1	30	1995	4	Editorial		Ball, Dr. L.J.				
2	30	1995	4	Baptist principles - rediscovering an identity		Parker, David				
3	30	1995	4	News, Hamburg Passenger Lists						
4	30	1995	4	Pastoral Profiles 02 - Rev. A.G. Weller		Higlett, Rev. W.				
5	30	1995	4	Photo, Wamuran Baptist Church						
0	29	1994	12					QB-Forum-29.pdf		
1	29	1994	12	Annual Reports 1994 - Secretary		Secretary, Treasurer				
2	29	1994	12	Archives news						
3	29	1994	12	James H. Cole and the Queensland Baptists		Harding, Ann				
4	29	1994	12	Leadership change for BHSQ		Ball, Dr. L.J.				
5	29	1994	12	Medals honour						
6	29	1994	12	New decade for BHSQ						
7	29	1994	12	Thomas Blacket Stephens - Cameos No 4		Williams, Rev. Melvin C.				
0	28	1994	6					QB-Forum-28.pdf		
1	28	1994	6	Baptist life and faith in the recent past		Weston, Rev. Norman E.				
2	28	1994	6	James Swan - pioneer Baptists and Publisher		Williams, Rev. Melvin C.				
3	28	1994	6	The BHSQ - an outline history after ten years		Parker, David				
4	28	1994	6	The way we were - a century ago		Ball, Dr. L.J.				
0	27	1994	4					QB-Forum-27.pdf		
1	27	1994	4	Baptist Pioneer - Mr Thomas Woolley		Cooper, Rev. S.				
2	27	1994	4	Bernard Gilmore Wilson		Williams, Rev. Melvin C.				
3	27	1994	4	Give me a mountain (review)		Parker, David				
4	27	1994	4	Launch for first BHSQ Book						
5	27	1994	4	Recent acquisitions for the Archives		Parker, David				
6	27	2005	12	Baptists Together in Christ 1905-2005		Parker, David				
0	26	1993	12					QB-Forum-26.pdf		
1	26	1993	12	Annual reports 1993						
2	26	1993	12	Mr Ebenezer Hooker - first lay president		Williams, Rev. Melvin C.				
3	26	1993	12	One hundred years ago		Williams, Rev. Melvin C.				
4	26	1993	12	The Dart family (NSW)						
0	25	1993	8					QB-Forum-25.pdf		
1	25	1993	8	Church Histories in Baptist Archives						
2	25	1993	8	Communion Tokens - Book 		Williams, Rev M.C.				
3	25	1993	8	Dart Family of Queensland		Parker, Joyce E.				
4	25	1993	8	Managing Church Records - a Guide		Parker, David				
5	25	1993	8	Review, Christian Camping (vol 2)		Joan Maxwell				
6	25	1993	8	Review		Parker, David				
0	24	1993	4					QB-Forum-24.pdf		
1	24	1993	4	All the presidential men		Parker, David				
2	24	1993	4	Counting Baptists		Parker, David				
3	24	1993	4	Histories of Qld Baptist churches in BTCQ Library						
4	24	1993	4	History of the Sandgate Baptist Church		Maxwell, Joan and John				
5	24	1993	4	Thanksgiving						
0	23	1992	12					QB-Forum-23.pdf		
1	23	1992	12	Bribie Island Baptist Church		Adam, Doug				
2	23	1992	12	Great Queensland Baptist		Parker, David				
3	23	1992	12	Historical theses in BTCQ Library						
4	23	1992	12	DUNLOP, REV. D.		Scanlan, Richard A				
5	23	1992	12	Secretary's report 1992		Chataway, Ellen				
6	23	1992	12	The Serampore Trio (2)		Jessup, Richard (adapted)				
0	22	1992	7					QB-Forum-22.pdf		
1	22	1992	7	Our Heroic Carey		Manley, Ken				
2	22	1992	7							
0	21	1992	3					QB-Forum-21.pdf		
1	21	1992	3	25 years at Gladstone		Parker, David				
2	21	1992	3	Johann George Schneider						
3	21	1992	3	Opposition to state aid in schools (2)		Smith, Ken				
4	21	1992	3	The Serampore Trio (1)		Jessup, Richard (adapted)				
0	20	1991	12					QB-Forum-20.pdf		
1	20	1991	12	Key Queensland Baptist - Rev. Ralph Sayce		Parker, David				
2	20	1991	12	Opposition to state aid in schools (1)		Smith, Ken				
3	20	1991	12	The Enquiry		Parker, David				
0	19	1991	8					QB-Forum-19.pdf		
1	19	1991	8	Camping - insights of a director		Knights, John				
2	19	1991	8	Camping - memories of an early camper		Hodgson, Ralph				
3	19	1991	8	Camping - the writer's perspective		Maxwell, Joan				
4	19	1991	8	Petrie Terrace ceases ministry after 121 years		Parker, David				
5	19	1991	8	When a padre is not a padre!		Williams, Rev. Melvin C.				
0	18	1991	4					QB-Forum-18.pdf		
1	18	1991	4	Baptist Union archives - a guide		Parker, David				
2	18	1991	4	Dr G.J. Morgans		Parker, David				
3	18	1991	4	Flashback - Queensland Baptists						
4	18	1991	4	Miss Martha Plested		Parker, David				
5	18	1991	4	Rev B.G. Wilson		Parker, David				
0	17	1990	11					QB-Forum-17.pdf		
1	17	1990	11	Label and date all documents		Smith, Ken				
2	17	1990	11	Social issues and the Baptist Union 1938-73		Smith, Ken				
3	17	1990	11	Traditional Queensland Baptists		Ball, Dr. L.J.				
0	16	1990	8					QB-Forum-16.pdf		
1	16	1990	8	Matron's view of aged care		Lord, Emily				
2	16	1990	8	Vision for aged care		Lockhart, Max				
0	15	1990	4					QB-Forum-15.pdf		
1	15	1990	4	Christian Endeavour (CE) Origins		Godman, Pat				
2	15	1990	4	Christian Endeavour, its impact on my life		Chataway, Ellen				
3	15	1990	4	Treasure trove of books and papers		Parker, David				
0	14	1989	11					QB-Forum-14.pdf		
1	14	1989	11	Doing local church history		Parker, David				
2	14	1989	11	Milestone for Clifford House		Parker, David				
3	14	1989	11	The unfinished chapter: book review		Chataway, Ellen				
0	13	1989	7					QB-Forum-13.pdf		
1	13	1989	7	Boonah Baptist Church 1887-1987		Chataway, Ellen				
2	13	1989	7	Reflections on college life		McPherson, Don				
3	13	1989	7	T.J. Malyon		Nickerson, S.W.				
0	12	1989	4					QB-Forum-12.pdf		
1	12	1989	4	Baptist churches and social issues 1919-39		Buch, Neville				
2	12	1989	4	Exploring Baptist Brisbane (rev)		Parker, David				
3	12	1989	4	Henri Nielsen, the man and his ministry		Chataway, Ellen				
4	12	1989	34	Historical thanksgiving service at Marburg		Scanlan, Richard A.				
0	11	1988	11					QB-Forum-11.pdf		
1	11	1988	11	Amongst the branches		Smith, Helen				
2	11	1988	11	Computers		Parker, David				
3	11	1988	11	Family Histories - help is at hand		Parker, David				
4	11	1988	11	Family history our way		Parker, Del and John				
0	10	1988	9					QB-Forum-10.pdf		
1	10	1988	9	Australian Baptists Past and Present (Review)		Petras, Michael				
2	10	1988	9	James Swan		Parker, David				
3	10	1988	9	Spurgeon and the South Pacific		Skinner, C.P.				
4	10	1988	9	Successful bicentennial presentation - Spurgeon						
5	10	1988	9	William Whale		O'Leary, Patrick				
0	9	1988	4					QB-Forum-9.pdf		
1	9	1988	4	Many Faiths, One Nation (Review)		Gillman, I.				
2	9	1988	4	Minimum Opportunity Calls for Maximum Effort(Revie		Keith, E.V.				
3	9	1988	4	Qld Baptist church histories in Union archives						
4	9	1988	4	Triumphant Through Trials (Review)		Maxwell, Joan				
0	8	1987	9					QB-Forum-8.pdf		
1	8	1987	9	In This Issue						
2	8	1987	9	Baptist Churches	Then and Now	Mr Ray Smith				
3	8	1987	9	Baptist Church Architecture in Queensland		Graham A. Hobbs				
0	7	1987	4					QB-Forum-7.pdf		
1	7	1987	4	BHSQ Annual Public Meeting						
2	7	1987	4	Jireh Church						
3	7	1987	4	Projects						
4	7	1987	4	Topp Family Centenary						
5	7	1987	4	Treasures in your Archive						
6	7	1987	4	Society News	Finances					
7	7	1987	4	BHSQ Annual Meeting 1986						
8	7	1987	4	New South Wales Baptist Historical Society News						
9	7	1987	4	Essay Competition						
10	7	1987	4	Rev. William Whale	An English Preparation	Patrick O’Leary				
11	7	1987	4	How to Organize a Family Centenary		Dick Scanlan				
12	7	1987	4	Book Review: The Small Archive’s Companion						
13	7	1987	4	BHSQ Membership						
0	6	1986	10					QB-Forum006.md		
1	6	1986	10	Annual Meeting BHSQ						
2	6	1986	10	Large Crowd for Liebfest						
3	6	1986	10	Warick’s 75th Anniversary		John Churchward				
4	6	1986	10	Forthcoming Anniversaries						
5	6	1986	10	Membership						
0	5	1986	7					QB-Forum005.md		
1	5	1986	7	Special Issue	German Baptist Conference					
2	5	1986	7	The Beginnings of the German Baptist Witness		Rev. John White, M.A.				
3	5	1986	7	The Churches of the German Baptist Conference	The Beginnings					
4	5	1986	7	The conference of the German Baptists in South-East Queensland		Glenn Roberts				
5	5	1986	7	Life of Pastor Hermann Windorf (1846-1922)						
6	5	1986	7	The Life Writings and Work of Hermann Windolf (1846-1922)		Glenn Roberts				
7	5	1986	7	The Conference of German Baptists in South-East Queensland		Glenn Roberts				
8	5	1986	7	Hermann Windolf – Early German Pastor		Glenn Roberts				
0	4	1986	3					QB-Forum004.md		
1	4	1986	3	News And Notes						
2	4	1986	3	Newsletter						
3	4	1986	3	Eric Stanley Jones						
4	4	1986	3	Research in Progress						
5	4	1986	3	Publications						
6	4	1986	3	Church Anniversaries						
7	4	1986	3	Book Review: The English Baptists of the 17th Century						
8	4	1986	3	Jireh Church Featured In British Baptist Historical Journal						
9	4	1986	3	New South Wales Notes						
10	4	1986	3	Baptist Archives, Queensland						
11	4	1986	3	Coming Events						
0	3	1985	7					QB-Forum003.md		
1	3	1985	7	Time To Review!				forum003-a1.md		
2	3	1985	7	The Small Woman				forum003-a2.md		
3	3	1985	7	Our first Year				forum003-a3.md		
4	3	1985	7	Recent Acquisitions for Baptist Archives				forum003-a4.md		
5	3	1985	7	Windsor Road		Brian Robertson		forum003-a5.md		
6	3	1985	7	News From New South Wales				forum003-a6.md		
7	3	1985	7	The Register of Church Archives				forum003-a7.md		
8	3	1985	7	Coming Events				forum003-a8.md		
0	2	1985	3					QB-Forum002.md		
1	2	1985	3	Progress and Potential	Editorial			forum002-a1.md		
2	2	1985	3	City Tabernacle Listed On The National Trust	BHSQ meeting marks this recognition			forum002-a2.md		
3	2	1985	3	John White Writes Again!				forum002-a3.md		
4	2	1985	3	Queensland's First Missionary	Information Wanted			forum002-a4.md		
5	2	1985	3	BHSQ Membehship – Growing!				forum002-a5.md		
6	2	1985	3	Sort Your Church's Histohical Records				forum002-a6.md		
7	2	1985	3	National Baptist History				forum002-a7.md		
8	2	1985	3	Essay Competition •••• $150. First Prize!				forum002-a8.md		
9	2	1985	3	Book Review: Lamplighter and Son	The forgotten story of Thomas Spurgeon o:f his famous father, Charles Haddon Spurgeon			forum002-a9.md		
10	2	1985	3	Baptist Historical Society Of Queensland Programme For 1985				forum002-a10.md		
0	1	1984	9					QB-Forum001.md		
1	1	1984	9	We’re off!! And running	Editorial			forum001-a1.md		
2	1	1984	9	Why Write Your Church’s History?		Rev. Dr. David Parker		forum001-a2.md		
3	1	1984	9	Researching and Writing Your Church History.		Rev. Larry Holt		forum001-a3.md		
4	1	1984	9	Printing and Publishing-Your Church History		Rev. John Ward		forum001-a4.md		
